CA,,,,,[1] ,2,[2] ,2,[1];1;,[2];1;,
1,0001AC,0522,12:9:37,Q02---,[1]=  1,,[2]=  完了,,[1]=1,[2]=完了,
2,0005AH,0522,11:42:53,Q02---,[1]=  1,,[2]=,,[1]=1,[2]=,
3,0013AH,,,,[1] na,0,[2] na,0,
4,0028AH,0522,11:41:32,Q02---,[1]=  1,,[2]=,,[1]=1,[2]=,
5,0034AH,0522,11:41:45,Q02---,[1]=  1,,[2]=  インストールできました,,[1]=1,[2]=インストールできました,
6,0047AH,0522,11:39:13,Q02---,[1]=  3,,[2]=  ダウンロードをブロックされてしまう,,[1]=3,[2]=ダウンロードをブロックされてしまう,
7,0048AH,0522,12:52:37,Q02---,[1]=  1,,[2]=,,[1]=1,[2]=,
8,0050AH,,,,[1] na,0,[2] na,0,
9,0055AH,0522,11:45:15,Q02---,[1]=  1,,[2]=  動作確認済み,,[1]=1,[2]=動作確認済み,
10,0059AH,0522,11:42:36,Q02---,[1]=  2,,[2]=  インストールできたが進め方がまだわかってない,,[1]=2,[2]=インストールできたが進め方がまだわかってない,
11,0061AH,0522,11:48:24,Q02---,[1]=  1,,[2]=  完了しました,,[1]=1,[2]=完了しました,
12,0064AH,0522,11:43:21,Q02---,[1]=  1,,[2]=  動作確認済み,,[1]=1,[2]=動作確認済み,
13,0070AH,0522,11:45:15,Q02---,[1]=  １,,[2]=  問題なし,,[1]=１,[2]=問題なし,
14,0084AH,0522,11:42:24,Q02---,[1]=  2,,[2]=  動作状況を確認していない,,[1]=2,[2]=動作状況を確認していない,
15,0085AH,0522,11:46:32,Q02---,[1]=  1,,[2]=,,[1]=1,[2]=,
16,0086AH,0522,11:42:31,Q02---,[1]=  3,,[2]=  ダウンロードが進行中です,,[1]=3,[2]=ダウンロードが進行中です,
17,0088AH,,,,[1] na,0,[2] na,0,
18,0089AH,0522,11:42:8,Q02---,[1]=  1,,[2]=  なし,,[1]=1,[2]=なし,
19,0090AH,0522,11:43:41,Q02---,[1]=  3,,[2]=  現在インストール中,,[1]=3,[2]=現在インストール中,
20,0091AH,0522,11:45:8,Q02---,[1]=  1,,[2]=  たぶんできました,,[1]=1,[2]=たぶんできました,
21,0092AH,0522,11:41:5,Q02---,[1]=  1,,[2]=,,[1]=1,[2]=,
22,0098AH,0522,11:39:32,Q02---まだ,[1]=  3,,[2]=  まだ,,[1]=3,[2]=まだ,
23,0099AH,0522,11:43:2,Q02---,[1]=  3,,[2]=  ウイルスバスターに引っ掛かりました。,,[1]=3,[2]=ウイルスバスターに引っ掛かりました。,
24,0102AH,0522,11:44:20,Q02---,[1]=  1,,[2]=  完了しました,,[1]=1,[2]=完了しました,
25,1003AH,0522,11:42:24,Q02---,[1]=  2,,[2]=  インストール中,,[1]=2,[2]=インストール中,
26,3002MH,0522,11:46:29,Q02---,[1]=,,[2]=　現在インストール中です,,[1]=,[2]=　現在インストール中です,
27,1006AH,0522,11:55:31,Q02---,[1]=  3,,[2]=  まだできてません,,[1]=3,[2]=まだできてません,
28,1054AH,0522,11:53:4,Q02---,[1]=  2,,[2]=  確認していない,,[1]=2,[2]=確認していない,
29,1100AH,0522,11:52:38,Q02---,[1]=  3,,[2]=  ダウンロードしてない,,[1]=3,[2]=ダウンロードしてない,
30,0029BN,,,,[1] na,0,[2] na,0,
31,1004BN,,,,[1] na,0,[2] na,0,
32,1061BN,,,,[1] na,0,[2] na,0,
33,0044BV,0522,11:45:11,Q02---,[1]=  1,,[2]=  ketjsoff？のボタンが出てこないです,,[1]=1,[2]=k*e*t*j*s*o*f*f？のボタンが出てこないです,
34,1072MF,,,,[1] na,0,[2] na,0,
35,3042MF,,,,[1] na,0,[2] na,0,
36,3072MF,0522,11:42:2,Q02---,[1]=  1,,[2]=,,[1]=1,[2]=,
37,3118MF,0522,11:44:51,Q02---,[1]=  1,,[2]=,,[1]=1,[2]=,
