CA,,,,,[1] ,2,[2] ,2,[1];1;,[2];1;,
1,0001AC,0522,12:55:3,Q04---,[1]=  1,,[2]=  完了,,[1]=1,[2]=完了,
2,0005AH,0522,12:12:3,Q04---,[1]=  1,,[2]=,,[1]=1,[2]=,
3,0013AH,,,,[1] na,0,[2] na,0,
4,0028AH,0522,11:57:52,Q04---,[1]=  1,,[2]=,,[1]=1,[2]=,
5,0034AH,0522,12:11:16,Q04---,[1]=  1,,[2]=  完了しました,,[1]=1,[2]=完了しました,
6,0047AH,0522,12:7:40,Q04---,[1]=  2,,[2]=  ダウンロードはできているが動かない,,[1]=2,[2]=ダウンロードはできているが動かない,
7,0048AH,0522,12:53:39,Q04---,[1]=  1,,[2]=,,[1]=1,[2]=,
8,0050AH,,,,[1] na,0,[2] na,0,
9,0055AH,0522,11:58:53,Q04---,[1]=  1,,[2]=  まだ動作確認していない,,[1]=1,[2]=まだ動作確認していない,
10,0059AH,0522,12:0:22,Q04---,[1]=  1,,[2]=  起動は確認した,,[1]=1,[2]=起動は確認した,
11,0061AH,0522,12:14:34,Q04---,[1]=  3,,[2]=  インストール中です,,[1]=3,[2]=インストール中です,
12,0064AH,0522,11:56:6,Q04---,[1]=  1,,[2]=  動作確認済み,,[1]=1,[2]=動作確認済み,
13,0070AH,0522,11:51:23,Q04---,[1]=  1,,[2]=  完了,,[1]=1,[2]=完了,
14,0084AH,0522,11:54:16,Q04---,[1]=  2,,[2]=  動作確認の仕方がわからない,,[1]=2,[2]=動作確認の仕方がわからない,
15,0085AH,0522,11:51:18,Q04---,[1]=  3,,[2]=,,[1]=3,[2]=,
16,0086AH,0522,11:56:2,Q04---,[1]=  1,,[2]=,,[1]=1,[2]=,
17,0088AH,,,,[1] na,0,[2] na,0,
18,0089AH,0522,11:53:28,Q04---,[1]=  1,,[2]=,,[1]=1,[2]=,
19,0090AH,0522,12:26:55,Q04---,[1]=  2,,[2]=  インストール完了,,[1]=2,[2]=インストール完了,
20,0091AH,0522,12:17:12,Q04---,[1]=  1,,[2]=  たぶんできました,,[1]=1,[2]=たぶんできました,
21,0092AH,0522,12:1:8,Q04---,[1]=,,[2]=  インストール先が分からない,,[1]=,[2]=インストール先が分からない,
22,0098AH,0522,11:55:36,Q04---,[1]=  3,,[2]=  まだ,,[1]=3,[2]=まだ,
23,0099AH,,,,[1] na,0,[2] na,0,
24,0102AH,,,,[1] na,0,[2] na,0,
25,1003AH,0522,12:7:27,Q04---,[1]=  2,,[2]=  インストール中,,[1]=2,[2]=インストール中,
26,3002MH,0522,12:10:25,Q04---インストールできました,[1]=,,[2]=　動作確認はよくわかりません,,[1]=,[2]=　動作確認はよくわかりません,
27,1006AH,0522,11:52:46,Q04---,[1]=  3,,[2]=  ダウンロード方法が分かりません,,[1]=3,[2]=ダウンロード方法が分かりません,
28,1054AH,0522,11:55:16,Q04---,[1]=  2,,[2]=  確認していない,,[1]=2,[2]=確認していない,
29,1100AH,0522,11:54:8,Q04---,[1]=  3,,[2]=  ダウンロードしてない,,[1]=3,[2]=ダウンロードしてない,
30,0029BN,,,,[1] na,0,[2] na,0,
31,1004BN,,,,[1] na,0,[2] na,0,
32,1061BN,,,,[1] na,0,[2] na,0,
33,0044BV,0522,11:57:57,Q04---,[1]=  2,,[2]=  インストール中です（コマンドプロンプトの画面で止まってます）,,[1]=2,[2]=インストール中です（コマンドプロンプトの画面で止まってます）,
34,1072MF,,,,[1] na,0,[2] na,0,
35,3042MF,,,,[1] na,0,[2] na,0,
36,3072MF,0522,12:11:15,Q04---,[1]=  1,,[2]=,,[1]=1,[2]=,
37,3118MF,0522,12:5:45,Q04---,[1]=  1,,[2]=,,[1]=1,[2]=,
