CA,2024,0605,,Q02---,[],2,[];1;,
1,0001AC,0605,12:3:47,Q02---,[]=  1,,[]1,
2,0005AH,0605,11:21:51,Q02---,[]=  1,,[]1,
3,0013AH,0605,11:25:20,Q02---,[]=  2,,[]2,
4,0028AH,0605,11:23:11,Q02---,[]=  1,,[]1,
5,0034AH,0605,11:21:33,Q02---,[]=  1,,[]1,
6,0047AH,,,Q02---,[]na,0,[]na,
7,0048AH,0605,11:21:20,Q02---,[]=  1,,[]1,
8,0050AH,0605,11:23:28,Q02---,[]=  2,,[]2,
9,0055AH,0605,11:24:17,Q02---,[]=  1,,[]1,
10,0059AH,0605,11:21:41,Q02---,[]=  1,,[]1,
11,0061AH,0605,11:24:32,Q02---,[]=  1,,[]1,
12,0064AH,0605,11:20:34,Q02---,[]=  1,,[]1,
13,0070AH,0605,11:24:35,Q02---1,[]=  1,,[]1,
14,0084AH,0605,11:19:59,Q02---,[]=  1,,[]1,
15,0085AH,0605,12:22:9,Q02---,[]=  1,,[]1,
16,0086AH,0605,11:20:21,Q02---,[]=  1,,[]1,
17,0088AH,,,Q02---,[]na,0,[]na,
18,0089AH,0605,11:19:53,Q02---,[]=  1,,[]1,
19,0090AH,,,Q02---,[]na,0,[]na,
20,0091AH,,,Q02---,[]na,0,[]na,
21,0092AH,0605,11:19:46,Q02---,[]=  1,,[]1,
22,0098AH,0605,11:27:15,Q02---,[]=  1,,[]1,
23,0099AH,0605,11:24:42,Q02---,[]=  2,,[]2,
24,0102AH,0605,11:44:17,Q02---,[]=  1,,[]1,
25,1003AH,0605,11:30:29,Q02---,[]=1,,[]1,
26,3002MH,0605,11:26:40,Q02---,[]=  1,,[]1,
27,1006AH,,,Q02---,[]na,0,[]na,
28,1054AH,,,Q02---,[]na,0,[]na,
29,1100AH,0605,11:19:44,Q02---,[]=  1,,[]1,
30,0029BN,,,Q02---,[]na,0,[]na,
31,1004BN,0605,11:20:50,Q02---,[]=  2,,[]2,
32,1061BN,0605,11:29:42,Q02---,[]=１,,[]１,
33,0044BV,,,Q02---,[]na,0,[]na,
34,1072MF,,,Q02---,[]na,0,[]na,
35,3042MF,,,Q02---,[]na,0,[]na,
36,3072MF,0605,11:20:7,Q02---,[]=  1,,[]1,
37,3118MF,0605,11:20:49,Q02---,[]=  2,,[]2,
