,,,Q01,,,,,,Q02,,,,Q03,,,,Q04,,,,Sum,%
,,,[1],[2],[3],[4],[5],[6],[1],[2],[3],[4],[1],[2],[3],[4],[1],[2],[3],[4]
,___,OK=___,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,Avg=,0.0
