,,,Q01,,,Q02,,Q03,,Q04,Q05,,,,Q06,,Q07,Sum,%
,,,[1],[2],[3],[1],[2],[1],[2],[ ],[1],[2],[3],[4],[1],[2],[]
,___,OK=___,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,Avg=,0.0
