CA,2024,0717,,Q03---,[],___,[];1;,
1,0001AC,0717,11:52:48,Q03---,[]\documentclass{ujarticle} \usepackage[dvipdfmx]{pict2e} \usepackage{ketpic2e} \usepackage{ketlayer2e} \usepackage{amsmath:amssymb} \usepackage{graphicx} \usepackage{color}  \setmargin{20}{20}{20}{20}  \begin{document}  ７月１７日の最初の例    \begin{layer}{130}{0}  \putnotes{100}{10}{\input{graphtable.tex}}  \end{layer}  \vspace{5mm}  \begin{minipage}[t]{55mm}  texwoksのインストールに時間を盗られました。 ketcindyへのコンパイルは後ほど行います。  \end{minipage}   \end{document},,[]\d*o*c*u*m*e*n*t*c*l*a*s*s*ujarticle\u*s*e*p*a*c*k*a*g*e*%pi*c*t*2*e}\u*s*e*p*a*c*k*a*g*ek*e*t%p*i}*c*2*e}\u*s*e*p*a*c*k*a*g*ek*e*t*l*a*y*e*r*2*e}\u*s*e*p*a*c*k*a*g*ea*m*s*m*a*t*h:a*m*s*s*y*m*b}\u*s*e*p*a*c*k*a*g*eg*r*a*p*h*i*c*x}\u*s*e*p*a*c*k*a*g*ec*o*l*o*r}\s*e*t*m*a*r*g*i*n20}20}20}20}\b*e*g*i*nd*o*c*u*m*e*n*t}７月１７日の最初の例\b*e*g*i*nl*a*y*e*r}130}0}\p*u*t*n*o*t*e*s100}10}\i*n*p*u*tg*r*a*p*h*t*a*b*l*e*.*t*e*x}}\e*n*dl*a*y*e*r}\v*s*p*a*c*e5*m*m}\b*e*g*i*nm*i*n*i*p*a*g*e}55*m*m}t*e*x*w*o*k*sのインストールに時間を盗られました。k*e*t*c*i*n*d*yへのコンパイルは後ほど行います。\e*n*dm*i*n*i*p*a*g*e}\e*n*dd*o*c*u*m*e*n*t},
2,0005AH,0717,11:56:49,Q03---,[]\documentclass{ujarticle} \usepackage[dvipdfmx]{pict2e} \usepackage{ketpic2e} \usepackage{ketlayer2e} \usepackage{amsmath:amssymb} \usepackage{graphicx} \usepackage{color}  \setmargin{20}{20}{20}{20}  \begin{document}  ７月１７日の最初の例    \begin{layer}{130}{0}  \putnotes{100}{10}{\input{graphtable.tex}}  \end{layer}  \vspace{5mm}  \begin{minipage}[t]{55mm} ルックバック：興収9.9億円突破 58万人動員のヒット 藤本タツキの人気マンガ原作の劇場版アニメ \end{minipage}   \end{document},,[]\d*o*c*u*m*e*n*t*c*l*a*s*s*ujarticle\u*s*e*p*a*c*k*a*g*e*%pi*c*t*2*e}\u*s*e*p*a*c*k*a*g*ek*e*t%p*i}*c*2*e}\u*s*e*p*a*c*k*a*g*ek*e*t*l*a*y*e*r*2*e}\u*s*e*p*a*c*k*a*g*ea*m*s*m*a*t*h:a*m*s*s*y*m*b}\u*s*e*p*a*c*k*a*g*eg*r*a*p*h*i*c*x}\u*s*e*p*a*c*k*a*g*ec*o*l*o*r}\s*e*t*m*a*r*g*i*n20}20}20}20}\b*e*g*i*nd*o*c*u*m*e*n*t}７月１７日の最初の例\b*e*g*i*nl*a*y*e*r}130}0}\p*u*t*n*o*t*e*s100}10}\i*n*p*u*tg*r*a*p*h*t*a*b*l*e*.*t*e*x}}\e*n*dl*a*y*e*r}\v*s*p*a*c*e5*m*m}\b*e*g*i*nm*i*n*i*p*a*g*e}55*m*m}ルックバック：興収9.9億円突破58万人動員のヒット藤本タツキの人気マンガ原作の劇場版アニメ\e*n*dm*i*n*i*p*a*g*e}\e*n*dd*o*c*u*m*e*n*t},
3,0013AH,,,Q03---,[]na,0,[]na,
4,0028AH,0717,12:20:41,Q03---,[]\documentclass{ujarticle} \usepackage[dvipdfmx]{pict2e} \usepackage{ketpic2e} \usepackage{ketlayer2e} \usepackage{amsmath:amssymb} \usepackage{graphicx} \usepackage{color}  \setmargin{20}{20}{20}{20}  \begin{document}  ７月１７日の最初の例    \begin{layer}{130}{0}  \putnotes{100}{10}{\input{graphtable.tex}}  \end{layer}  \vspace{5mm}  \begin{minipage}[t]{55mm} 大リーグ、ドジャースの大谷翔平選手が出場するオールスターゲームは日本時間の17日午前9時すぎから行われ、大谷選手は2番・指名打者で出場しています。大谷選手は、第2打席で、先制のスリーランホームランを打ちました。  ※オールスターゲームに関する日本時間7月17日の動きを随時更新してお伝えします。 \end{minipage}   \end{document},,[]\d*o*c*u*m*e*n*t*c*l*a*s*s*ujarticle\u*s*e*p*a*c*k*a*g*e*%pi*c*t*2*e}\u*s*e*p*a*c*k*a*g*ek*e*t%p*i}*c*2*e}\u*s*e*p*a*c*k*a*g*ek*e*t*l*a*y*e*r*2*e}\u*s*e*p*a*c*k*a*g*ea*m*s*m*a*t*h:a*m*s*s*y*m*b}\u*s*e*p*a*c*k*a*g*eg*r*a*p*h*i*c*x}\u*s*e*p*a*c*k*a*g*ec*o*l*o*r}\s*e*t*m*a*r*g*i*n20}20}20}20}\b*e*g*i*nd*o*c*u*m*e*n*t}７月１７日の最初の例\b*e*g*i*nl*a*y*e*r}130}0}\p*u*t*n*o*t*e*s100}10}\i*n*p*u*tg*r*a*p*h*t*a*b*l*e*.*t*e*x}}\e*n*dl*a*y*e*r}\v*s*p*a*c*e5*m*m}\b*e*g*i*nm*i*n*i*p*a*g*e}55*m*m}大リーグ、ドジャースの大谷翔平選手が出場するオールスターゲームは日本時間の17日午前9時すぎから行われ、大谷選手は2番・指名打者で出場しています。大谷選手は、第2打席で、先制のスリーランホームランを打ちました。※オールスターゲームに関する日本時間7月17日の動きを随時更新してお伝えします。\e*n*dm*i*n*i*p*a*g*e}\e*n*dd*o*c*u*m*e*n*t},
5,0034AH,0717,11:53:53,Q03---,[]\documentclass{ujarticle} \usepackage[dvipdfmx]{pict2e} \usepackage{ketpic2e} \usepackage{ketlayer2e} \usepackage{amsmath:amssymb} \usepackage{graphicx} \usepackage{color}  \setmargin{20}{20}{20}{20}  \begin{document}  ７月１７日の最初の例    \begin{layer}{130}{0}  \putnotes{100}{10}{\input{graphtable.tex}}  \end{layer}  \vspace{5mm}  \begin{minipage}[t]{55mm} 大リーグ、ドジャースのotani選手が出場するオールスターゲームは日本時間の17日午前9時すぎから行われ、otani選手は2番・指名打者で出場しています。otani選手は、第2打席で、先制のスリーランホームランを打ちました。  ※オールスターゲームに関する日本時間7月17日の動きを随時更新してお伝えします。 \end{minipage}   \end{document},,[]\d*o*c*u*m*e*n*t*c*l*a*s*s*ujarticle\u*s*e*p*a*c*k*a*g*e*%pi*c*t*2*e}\u*s*e*p*a*c*k*a*g*ek*e*t%p*i}*c*2*e}\u*s*e*p*a*c*k*a*g*ek*e*t*l*a*y*e*r*2*e}\u*s*e*p*a*c*k*a*g*ea*m*s*m*a*t*h:a*m*s*s*y*m*b}\u*s*e*p*a*c*k*a*g*eg*r*a*p*h*i*c*x}\u*s*e*p*a*c*k*a*g*ec*o*l*o*r}\s*e*t*m*a*r*g*i*n20}20}20}20}\b*e*g*i*nd*o*c*u*m*e*n*t}７月１７日の最初の例\b*e*g*i*nl*a*y*e*r}130}0}\p*u*t*n*o*t*e*s100}10}\i*n*p*u*tg*r*a*p*h*t*a*b*l*e*.*t*e*x}}\e*n*dl*a*y*e*r}\v*s*p*a*c*e5*m*m}\b*e*g*i*nm*i*n*i*p*a*g*e}55*m*m}大リーグ、ドジャースのo*t*a*n*i選手が出場するオールスターゲームは日本時間の17日午前9時すぎから行われ、o*t*a*n*i選手は2番・指名打者で出場しています。o*t*a*n*i選手は、第2打席で、先制のスリーランホームランを打ちました。※オールスターゲームに関する日本時間7月17日の動きを随時更新してお伝えします。\e*n*dm*i*n*i*p*a*g*e}\e*n*dd*o*c*u*m*e*n*t},
6,0047AH,0717,12:22:9,Q03---,[]\documentclass{ujarticle} \usepackage[dvipdfmx]{pict2e} \usepackage{ketpic2e} \usepackage{ketlayer2e} \usepackage{amsmath:amssymb} \usepackage{graphicx} \usepackage{color}  \setmargin{20}{20}{20}{20}  \begin{document}  2024/7/17天気は晴れ    \begin{layer}{130}{0}  \putnotes{100}{10}{\input{graphtable.tex}}  \end{layer}  \vspace{5mm}  \begin{minipage}[t]{55mm} ありがとうございます。 \end{minipage}   \end{document},,[]\d*o*c*u*m*e*n*t*c*l*a*s*s*ujarticle\u*s*e*p*a*c*k*a*g*e*%pi*c*t*2*e}\u*s*e*p*a*c*k*a*g*ek*e*t%p*i}*c*2*e}\u*s*e*p*a*c*k*a*g*ek*e*t*l*a*y*e*r*2*e}\u*s*e*p*a*c*k*a*g*ea*m*s*m*a*t*h:a*m*s*s*y*m*b}\u*s*e*p*a*c*k*a*g*eg*r*a*p*h*i*c*x}\u*s*e*p*a*c*k*a*g*ec*o*l*o*r}\s*e*t*m*a*r*g*i*n20}20}20}20}\b*e*g*i*nd*o*c*u*m*e*n*t}2024/7/17天気は晴れ\b*e*g*i*nl*a*y*e*r}130}0}\p*u*t*n*o*t*e*s100}10}\i*n*p*u*tg*r*a*p*h*t*a*b*l*e*.*t*e*x}}\e*n*dl*a*y*e*r}\v*s*p*a*c*e5*m*m}\b*e*g*i*nm*i*n*i*p*a*g*e}55*m*m}ありがとうございます。\e*n*dm*i*n*i*p*a*g*e}\e*n*dd*o*c*u*m*e*n*t},
7,0048AH,,,Q03---,[]na,0,[]na,
8,0050AH,,,Q03---,[]na,0,[]na,
9,0055AH,,,Q03---,[]na,0,[]na,
10,0059AH,0717,11:58:8,Q03---,[]\documentclass{ujarticle} \usepackage[dvipdfmx]{pict2e} \usepackage{ketpic2e} \usepackage{ketlayer2e} \usepackage{amsmath:amssymb} \usepackage{graphicx} \usepackage{color}  \setmargin{20}{20}{20}{20}  \begin{document}  ７月１７日の最初の例    \begin{layer}{130}{0}  \putnotes{100}{10}{\input{graphtable.tex}}  \end{layer}  \vspace{5mm}  \begin{minipage}[t]{55mm} 大リーグ、ドジャースの大谷翔平選手が出場するオールスターゲームは日本時間の17日午前9時すぎから行われ、大谷選手は2番・指名打者で出場しています。  \end{minipage}   \end{document},,[]\d*o*c*u*m*e*n*t*c*l*a*s*s*ujarticle\u*s*e*p*a*c*k*a*g*e*%pi*c*t*2*e}\u*s*e*p*a*c*k*a*g*ek*e*t%p*i}*c*2*e}\u*s*e*p*a*c*k*a*g*ek*e*t*l*a*y*e*r*2*e}\u*s*e*p*a*c*k*a*g*ea*m*s*m*a*t*h:a*m*s*s*y*m*b}\u*s*e*p*a*c*k*a*g*eg*r*a*p*h*i*c*x}\u*s*e*p*a*c*k*a*g*ec*o*l*o*r}\s*e*t*m*a*r*g*i*n20}20}20}20}\b*e*g*i*nd*o*c*u*m*e*n*t}７月１７日の最初の例\b*e*g*i*nl*a*y*e*r}130}0}\p*u*t*n*o*t*e*s100}10}\i*n*p*u*tg*r*a*p*h*t*a*b*l*e*.*t*e*x}}\e*n*dl*a*y*e*r}\v*s*p*a*c*e5*m*m}\b*e*g*i*nm*i*n*i*p*a*g*e}55*m*m}大リーグ、ドジャースの大谷翔平選手が出場するオールスターゲームは日本時間の17日午前9時すぎから行われ、大谷選手は2番・指名打者で出場しています。\e*n*dm*i*n*i*p*a*g*e}\e*n*dd*o*c*u*m*e*n*t},
